JRz485_2_afterdeh , 4.11.2023, 20:30
Fixed value(s) :  AC Volt  [Vrms]=1.0000e+00  
 Freq. [Hz]	 Temp. [C]	 Modulus'  	 Modulus''  	 Eps'    	 Eps''   	 Sig' [S/cm]	 Sig'' [S/cm]	Tan(Delta)  	Tan(Phi)  
3.00000e+05	-3.00000e+01	3.94933e-02	9.12279e-05	2.53206e+01	5.84896e-02	9.76178e-09	4.05905e-06	2.30996e-03	-4.32908e+02
2.31920e+05	-3.00000e+01	3.94855e-02	8.75528e-05	2.53256e+01	5.61555e-02	7.24536e-09	3.13857e-06	2.21734e-03	-4.50991e+02
1.79290e+05	-3.00000e+01	3.94721e-02	8.02773e-05	2.53342e+01	5.15241e-02	5.13920e-09	2.42719e-06	2.03377e-03	-4.91697e+02
1.38610e+05	-3.00000e+01	3.94633e-02	7.72003e-05	2.53399e+01	4.95713e-02	3.82255e-09	1.87690e-06	1.95625e-03	-5.11181e+02
1.07150e+05	-3.00000e+01	3.94505e-02	7.43276e-05	2.53481e+01	4.77577e-02	2.84685e-09	1.45140e-06	1.88407e-03	-5.30765e+02
8.28380e+04	-3.00000e+01	3.94410e-02	7.13372e-05	2.53542e+01	4.58583e-02	2.11338e-09	1.12236e-06	1.80870e-03	-5.52882e+02
6.40400e+04	-3.00000e+01	3.94308e-02	6.84093e-05	2.53608e+01	4.39990e-02	1.56756e-09	8.67906e-07	1.73492e-03	-5.76395e+02
4.95080e+04	-3.00000e+01	3.94203e-02	6.57848e-05	2.53676e+01	4.23336e-02	1.16598e-09	6.71146e-07	1.66881e-03	-5.99230e+02
3.82730e+04	-3.00000e+01	3.94185e-02	6.03625e-05	2.53687e+01	3.88477e-02	8.27156e-10	5.18865e-07	1.53132e-03	-6.53030e+02
2.95880e+04	-3.00000e+01	3.94062e-02	5.75776e-05	2.53767e+01	3.70787e-02	6.10337e-10	4.01254e-07	1.46113e-03	-6.84401e+02
2.28740e+04	-3.00000e+01	3.93980e-02	5.49296e-05	2.53820e+01	3.53881e-02	4.50327e-10	3.10270e-07	1.39422e-03	-7.17246e+02
1.76830e+04	-3.00000e+01	3.93900e-02	5.24054e-05	2.53871e+01	3.37756e-02	3.32267e-10	2.39908e-07	1.33042e-03	-7.51640e+02
1.36710e+04	-3.00000e+01	3.93821e-02	4.96106e-05	2.53922e+01	3.19871e-02	2.43279e-10	1.85515e-07	1.25972e-03	-7.93825e+02
1.05680e+04	-3.00000e+01	3.93728e-02	4.69946e-05	2.53982e+01	3.03149e-02	1.78229e-10	1.43443e-07	1.19358e-03	-8.37814e+02
8.17010e+03	-3.00000e+01	3.93668e-02	4.57617e-05	2.54021e+01	2.95286e-02	1.34214e-10	1.10913e-07	1.16245e-03	-8.60255e+02
6.31610e+03	-3.00000e+01	3.93596e-02	4.42753e-05	2.54067e+01	2.85798e-02	1.00424e-10	8.57606e-08	1.12489e-03	-8.88975e+02
4.88290e+03	-3.00000e+01	3.93534e-02	4.23200e-05	2.54107e+01	2.73263e-02	7.42315e-11	6.63114e-08	1.07539e-03	-9.29899e+02
3.77480e+03	-3.00000e+01	3.93546e-02	4.00336e-05	2.54100e+01	2.58484e-02	5.42821e-11	5.12614e-08	1.01725e-03	-9.83039e+02
2.91820e+03	-3.00000e+01	3.93444e-02	3.86231e-05	2.54165e+01	2.49505e-02	4.05065e-11	3.96395e-08	9.81666e-04	-1.01868e+03
2.25600e+03	-3.00000e+01	3.93391e-02	3.74812e-05	2.54200e+01	2.42194e-02	3.03971e-11	3.06488e-08	9.52771e-04	-1.04957e+03
1.74410e+03	-3.00000e+01	3.93336e-02	3.63819e-05	2.54236e+01	2.35157e-02	2.28170e-11	2.36979e-08	9.24958e-04	-1.08113e+03
1.34830e+03	-3.00000e+01	3.93282e-02	3.54706e-05	2.54271e+01	2.29330e-02	1.72019e-11	1.83226e-08	9.01915e-04	-1.10875e+03
1.04230e+03	-3.00000e+01	3.93213e-02	3.40533e-05	2.54315e+01	2.20244e-02	1.27710e-11	1.41668e-08	8.66027e-04	-1.15470e+03
8.05800e+02	-3.00000e+01	3.93170e-02	3.37622e-05	2.54343e+01	2.18409e-02	9.79099e-12	1.09536e-08	8.58717e-04	-1.16453e+03
6.22940e+02	-3.00000e+01	3.93111e-02	3.28583e-05	2.54381e+01	2.12624e-02	7.36866e-12	8.46920e-09	8.35851e-04	-1.19638e+03
4.81580e+02	-3.00000e+01	3.93099e-02	3.21249e-05	2.54389e+01	2.07892e-02	5.56974e-12	6.54755e-09	8.17221e-04	-1.22366e+03
3.72300e+02	-3.00000e+01	3.93091e-02	3.17555e-05	2.54394e+01	2.05510e-02	4.25653e-12	5.06189e-09	8.07841e-04	-1.23787e+03
2.87820e+02	-3.00000e+01	3.93051e-02	3.08633e-05	2.54420e+01	1.99776e-02	3.19885e-12	3.91369e-09	7.85223e-04	-1.27352e+03
2.22500e+02	-3.00000e+01	3.92965e-02	3.10576e-05	2.54476e+01	2.01123e-02	2.48955e-12	3.02618e-09	7.90342e-04	-1.26528e+03
1.72010e+02	-3.00000e+01	3.92920e-02	3.11154e-05	2.54504e+01	2.01542e-02	1.92863e-12	2.33975e-09	7.91902e-04	-1.26278e+03
1.32980e+02	-3.00000e+01	3.92878e-02	3.19806e-05	2.54532e+01	2.07190e-02	1.53280e-12	1.80905e-09	8.14007e-04	-1.22849e+03
1.02800e+02	-3.00000e+01	3.92813e-02	3.14213e-05	2.54574e+01	2.03634e-02	1.16459e-12	1.39872e-09	7.99904e-04	-1.25015e+03
7.94740e+01	-3.00000e+01	3.92763e-02	3.22661e-05	2.54606e+01	2.09163e-02	9.24781e-13	1.08149e-09	8.21515e-04	-1.21726e+03
6.14400e+01	-3.00000e+01	3.92724e-02	3.21433e-05	2.54632e+01	2.08408e-02	7.12353e-13	8.36167e-10	8.18470e-04	-1.22179e+03
4.74970e+01	-3.00000e+01	3.92787e-02	3.39904e-05	2.54590e+01	2.20314e-02	5.82153e-13	6.46301e-10	8.65365e-04	-1.15558e+03
3.67190e+01	-3.00000e+01	3.92701e-02	3.45993e-05	2.54647e+01	2.24359e-02	4.58315e-13	4.99758e-10	8.81061e-04	-1.13499e+03
2.83870e+01	-3.00000e+01	3.92609e-02	3.52502e-05	2.54706e+01	2.28686e-02	3.61151e-13	3.86450e-10	8.97844e-04	-1.11378e+03
2.19450e+01	-3.00000e+01	3.92551e-02	3.47464e-05	2.54744e+01	2.25485e-02	2.75285e-13	2.98797e-10	8.85144e-04	-1.12976e+03
1.69650e+01	-3.00000e+01	3.92474e-02	4.07064e-05	2.54794e+01	2.64266e-02	2.49416e-13	2.31038e-10	1.03718e-03	-9.64157e+02
1.31150e+01	-3.00000e+01	3.92443e-02	4.35621e-05	2.54813e+01	2.82848e-02	2.06372e-13	1.78621e-10	1.11002e-03	-9.00884e+02
1.01390e+01	-3.00000e+01	3.92372e-02	4.39175e-05	2.54860e+01	2.85260e-02	1.60903e-13	1.38115e-10	1.11928e-03	-8.93430e+02
7.83830e+00	-3.00000e+01	3.92294e-02	4.48841e-05	2.54911e+01	2.91654e-02	1.27180e-13	1.06797e-10	1.14414e-03	-8.74016e+02
6.05960e+00	-3.00000e+01	3.92220e-02	5.02337e-05	2.54958e+01	3.26539e-02	1.10080e-13	8.25782e-11	1.28075e-03	-7.80791e+02
4.68460e+00	-3.00000e+01	3.92190e-02	5.82758e-05	2.54978e+01	3.78873e-02	9.87404e-14	6.38452e-11	1.48591e-03	-6.72990e+02
3.62150e+00	-3.00000e+01	3.92161e-02	5.76486e-05	2.54997e+01	3.74852e-02	7.55226e-14	4.93604e-11	1.47002e-03	-6.80261e+02
2.79970e+00	-3.00000e+01	3.92004e-02	6.26653e-05	2.55099e+01	4.07798e-02	6.35163e-14	3.81752e-11	1.59859e-03	-6.25552e+02
2.16440e+00	-3.00000e+01	3.91944e-02	6.75524e-05	2.55138e+01	4.39735e-02	5.29490e-14	2.95173e-11	1.72352e-03	-5.80208e+02
1.67320e+00	-3.00000e+01	3.91864e-02	7.12525e-05	2.55189e+01	4.64010e-02	4.31921e-14	2.28233e-11	1.81830e-03	-5.49966e+02
1.29350e+00	-3.00000e+01	3.91714e-02	7.59605e-05	2.55288e+01	4.95050e-02	3.56242e-14	1.76511e-11	1.93919e-03	-5.15680e+02
1.00000e+00	-3.00000e+01	3.91570e-02	9.11660e-05	2.55381e+01	5.94582e-02	3.30781e-14	1.36512e-11	2.32822e-03	-4.29513e+02
3.00000e+05	-2.50000e+01	3.94873e-02	9.01835e-05	2.53245e+01	5.78377e-02	9.65298e-09	4.05970e-06	2.28386e-03	-4.37854e+02
2.31920e+05	-2.50000e+01	3.94801e-02	8.66212e-05	2.53291e+01	5.55732e-02	7.17023e-09	3.13901e-06	2.19405e-03	-4.55779e+02
1.79290e+05	-2.50000e+01	3.94649e-02	7.90963e-05	2.53389e+01	5.07845e-02	5.06544e-09	2.42765e-06	2.00422e-03	-4.98948e+02
1.38610e+05	-2.50000e+01	3.94551e-02	7.58753e-05	2.53452e+01	4.87409e-02	3.75852e-09	1.87731e-06	1.92308e-03	-5.19999e+02
1.07150e+05	-2.50000e+01	3.94415e-02	7.27653e-05	2.53539e+01	4.67752e-02	2.78829e-09	1.45174e-06	1.84489e-03	-5.42037e+02
8.28380e+04	-2.50000e+01	3.94311e-02	7.00294e-05	2.53606e+01	4.50404e-02	2.07568e-09	1.12266e-06	1.77600e-03	-5.63064e+02
6.40400e+04	-2.50000e+01	3.94202e-02	6.70008e-05	2.53676e+01	4.31162e-02	1.53611e-09	8.68148e-07	1.69966e-03	-5.88355e+02
4.95080e+04	-2.50000e+01	3.94097e-02	6.44828e-05	2.53744e+01	4.15179e-02	1.14351e-09	6.71333e-07	1.63621e-03	-6.11167e+02
3.82730e+04	-2.50000e+01	3.94084e-02	5.91257e-05	2.53752e+01	3.80713e-02	8.10624e-10	5.19004e-07	1.50033e-03	-6.66519e+02
2.95880e+04	-2.50000e+01	3.93952e-02	5.61643e-05	2.53838e+01	3.61887e-02	5.95687e-10	4.01370e-07	1.42566e-03	-7.01428e+02
2.28740e+04	-2.50000e+01	3.93865e-02	5.35746e-05	2.53893e+01	3.45353e-02	4.39475e-10	3.10364e-07	1.36023e-03	-7.35172e+02
1.76830e+04	-2.50000e+01	3.93780e-02	5.09285e-05	2.53948e+01	3.28437e-02	3.23100e-10	2.39984e-07	1.29332e-03	-7.73203e+02
1.36710e+04	-2.50000e+01	3.93701e-02	4.81656e-05	2.54000e+01	3.10745e-02	2.36338e-10	1.85575e-07	1.22341e-03	-8.17390e+02
1.05680e+04	-2.50000e+01	3.93602e-02	4.57313e-05	2.54063e+01	2.95188e-02	1.73548e-10	1.43491e-07	1.16187e-03	-8.60683e+02
8.17010e+03	-2.50000e+01	3.93537e-02	4.48779e-05	2.54105e+01	2.89775e-02	1.31709e-10	1.10952e-07	1.14037e-03	-8.76906e+02
6.31610e+03	-2.50000e+01	3.93461e-02	4.25867e-05	2.54154e+01	2.75086e-02	9.66601e-11	8.57912e-08	1.08236e-03	-9.23907e+02
4.88290e+03	-2.50000e+01	3.93431e-02	4.10004e-05	2.54174e+01	2.64881e-02	7.19544e-11	6.63295e-08	1.04212e-03	-9.59579e+02
3.77480e+03	-2.50000e+01	3.93412e-02	3.91878e-05	2.54186e+01	2.53195e-02	5.31715e-11	5.12796e-08	9.96102e-04	-1.00391e+03
2.91820e+03	-2.50000e+01	3.93311e-02	3.76922e-05	2.54251e+01	2.43656e-02	3.95569e-11	3.96534e-08	9.58329e-04	-1.04348e+03
2.25600e+03	-2.50000e+01	3.93261e-02	3.67045e-05	2.54284e+01	2.37333e-02	2.97869e-11	3.06594e-08	9.33338e-04	-1.07142e+03
1.74410e+03	-2.50000e+01	3.93206e-02	3.57773e-05	2.54320e+01	2.31402e-02	2.24527e-11	2.37060e-08	9.09887e-04	-1.09904e+03
1.34830e+03	-2.50000e+01	3.93148e-02	3.46791e-05	2.54357e+01	2.24365e-02	1.68295e-11	1.83290e-08	8.82087e-04	-1.13367e+03
1.04230e+03	-2.50000e+01	3.93069e-02	3.39202e-05	2.54408e+01	2.19543e-02	1.27304e-11	1.41722e-08	8.62958e-04	-1.15881e+03
8.05800e+02	-2.50000e+01	3.93028e-02	3.33651e-05	2.54435e+01	2.15996e-02	9.68281e-12	1.09577e-08	8.48924e-04	-1.17796e+03
6.22940e+02	-2.50000e+01	3.92971e-02	3.29770e-05	2.54472e+01	2.13545e-02	7.40058e-12	8.47235e-09	8.39172e-04	-1.19165e+03
4.81580e+02	-2.50000e+01	3.92921e-02	3.22985e-05	2.54504e+01	2.09205e-02	5.60493e-12	6.55064e-09	8.22011e-04	-1.21653e+03
3.72300e+02	-2.50000e+01	3.92945e-02	3.18464e-05	2.54488e+01	2.06251e-02	4.27187e-12	5.06384e-09	8.10454e-04	-1.23388e+03
2.87820e+02	-2.50000e+01	3.92898e-02	3.14967e-05	2.54519e+01	2.04036e-02	3.26706e-12	3.91528e-09	8.01652e-04	-1.24742e+03
2.22500e+02	-2.50000e+01	3.92813e-02	3.18978e-05	2.54574e+01	2.06723e-02	2.55887e-12	3.02740e-09	8.12036e-04	-1.23147e+03
1.72010e+02	-2.50000e+01	3.92754e-02	3.21306e-05	2.54612e+01	2.08295e-02	1.99325e-12	2.34078e-09	8.18085e-04	-1.22237e+03
1.32980e+02	-2.50000e+01	3.92708e-02	3.32034e-05	2.54642e+01	2.15300e-02	1.59279e-12	1.80987e-09	8.45498e-04	-1.18273e+03
1.02800e+02	-2.50000e+01	3.92644e-02	3.06271e-05	2.54684e+01	1.98659e-02	1.13614e-12	1.39935e-09	7.80024e-04	-1.28201e+03
7.94740e+01	-2.50000e+01	3.92589e-02	3.39188e-05	2.54719e+01	2.20071e-02	9.73011e-13	1.08199e-09	8.63978e-04	-1.15744e+03
6.14400e+01	-2.50000e+01	3.92530e-02	3.62651e-05	2.54757e+01	2.35365e-02	8.04494e-13	8.36596e-10	9.23881e-04	-1.08239e+03
4.74970e+01	-2.50000e+01	3.92452e-02	3.25407e-05	2.54808e+01	2.11278e-02	5.58277e-13	6.46876e-10	8.29165e-04	-1.20603e+03
3.67190e+01	-2.50000e+01	3.92499e-02	3.75594e-05	2.54778e+01	2.43805e-02	4.98038e-13	5.00025e-10	9.56931e-04	-1.04501e+03
2.83870e+01	-2.50000e+01	3.92401e-02	3.93728e-05	2.54841e+01	2.55704e-02	4.03818e-13	3.86664e-10	1.00338e-03	-9.96627e+02
2.19450e+01	-2.50000e+01	3.92340e-02	4.46062e-05	2.54881e+01	2.89780e-02	3.53780e-13	2.98964e-10	1.13693e-03	-8.79565e+02
1.69650e+01	-2.50000e+01	3.92313e-02	4.38023e-05	2.54898e+01	2.84598e-02	2.68606e-13	2.31137e-10	1.11652e-03	-8.95643e+02
1.31150e+01	-2.50000e+01	3.92222e-02	4.55594e-05	2.54957e+01	2.96150e-02	2.16078e-13	1.78726e-10	1.16157e-03	-8.60904e+02
1.01390e+01	-2.50000e+01	3.92136e-02	4.96625e-05	2.55013e+01	3.22965e-02	1.82171e-13	1.38202e-10	1.26646e-03	-7.89602e+02
7.83830e+00	-2.50000e+01	3.92056e-02	5.46343e-05	2.55065e+01	3.55441e-02	1.54995e-13	1.06864e-10	1.39353e-03	-7.17601e+02
6.05960e+00	-2.50000e+01	3.91963e-02	5.65924e-05	2.55125e+01	3.68354e-02	1.24176e-13	8.26345e-11	1.44382e-03	-6.92608e+02
4.68460e+00	-2.50000e+01	3.91959e-02	6.17671e-05	2.55128e+01	4.02046e-02	1.04780e-13	6.38845e-11	1.57586e-03	-6.34575e+02
3.62150e+00	-2.50000e+01	3.91865e-02	6.56838e-05	2.55189e+01	4.27745e-02	8.61792e-14	4.93991e-11	1.67619e-03	-5.96592e+02
2.79970e+00	-2.50000e+01	3.91736e-02	6.97839e-05	2.55273e+01	4.54744e-02	7.08284e-14	3.82024e-11	1.78140e-03	-5.61356e+02
2.16440e+00	-2.50000e+01	3.91648e-02	8.09461e-05	2.55330e+01	5.27718e-02	6.35431e-14	2.95405e-11	2.06681e-03	-4.83838e+02
1.67320e+00	-2.50000e+01	3.91516e-02	8.12341e-05	2.55416e+01	5.29953e-02	4.93304e-14	2.28444e-11	2.07486e-03	-4.81960e+02
1.29350e+00	-2.50000e+01	3.91360e-02	8.61340e-05	2.55518e+01	5.62367e-02	4.04683e-14	1.76677e-11	2.20089e-03	-4.54362e+02
1.00000e+00	-2.50000e+01	3.91221e-02	1.06548e-04	2.55608e+01	6.96144e-02	3.87283e-14	1.36638e-11	2.72348e-03	-3.67177e+02
3.00000e+05	-2.00000e+01	3.94604e-02	8.91213e-05	2.53417e+01	5.72342e-02	9.55225e-09	4.06258e-06	2.25850e-03	-4.42772e+02
2.31920e+05	-2.00000e+01	3.94522e-02	8.48629e-05	2.53470e+01	5.45222e-02	7.03462e-09	3.14133e-06	2.15103e-03	-4.64893e+02
1.79290e+05	-2.00000e+01	3.94377e-02	7.74230e-05	2.53563e+01	4.97789e-02	4.96513e-09	2.42939e-06	1.96317e-03	-5.09380e+02
1.38610e+05	-2.00000e+01	3.94281e-02	7.40436e-05	2.53625e+01	4.76292e-02	3.67280e-09	1.87865e-06	1.87794e-03	-5.32499e+02
1.07150e+05	-2.00000e+01	3.94173e-02	7.09865e-05	2.53695e+01	4.56878e-02	2.72346e-09	1.45267e-06	1.80090e-03	-5.55279e+02
8.28380e+04	-2.00000e+01	3.94049e-02	6.79509e-05	2.53774e+01	4.37615e-02	2.01675e-09	1.12343e-06	1.72443e-03	-5.79903e+02
6.40400e+04	-2.00000e+01	3.93948e-02	6.52075e-05	2.53840e+01	4.20163e-02	1.49692e-09	8.68731e-07	1.65523e-03	-6.04146e+02
4.95080e+04	-2.00000e+01	3.93842e-02	6.27552e-05	2.53908e+01	4.04580e-02	1.11432e-09	6.71786e-07	1.59341e-03	-6.27585e+02
3.82730e+04	-2.00000e+01	3.93828e-02	5.71908e-05	2.53917e+01	3.68732e-02	7.85115e-10	5.19355e-07	1.45218e-03	-6.88622e+02
2.95880e+04	-2.00000e+01	3.93704e-02	5.41025e-05	2.53997e+01	3.49041e-02	5.74541e-10	4.01634e-07	1.37419e-03	-7.27701e+02
2.28740e+04	-2.00000e+01	3.93623e-02	5.14902e-05	2.54050e+01	3.32325e-02	4.22896e-10	3.10563e-07	1.30811e-03	-7.64462e+02
1.76830e+04	-2.00000e+01	3.93543e-02	4.89638e-05	2.54101e+01	3.16148e-02	3.11011e-10	2.40135e-07	1.24418e-03	-8.03742e+02
1.36710e+04	-2.00000e+01	3.93468e-02	4.62680e-05	2.54150e+01	2.98855e-02	2.27295e-10	1.85689e-07	1.17590e-03	-8.50411e+02
1.05680e+04	-2.00000e+01	3.93367e-02	4.38606e-05	2.54215e+01	2.83451e-02	1.66648e-10	1.43580e-07	1.11500e-03	-8.96857e+02
8.17010e+03	-2.00000e+01	3.93304e-02	4.29835e-05	2.54256e+01	2.77871e-02	1.26299e-10	1.11020e-07	1.09288e-03	-9.15013e+02
6.31610e+03	-2.00000e+01	3.93234e-02	4.13811e-05	2.54301e+01	2.67608e-02	9.40322e-11	8.58427e-08	1.05233e-03	-9.50276e+02
4.88290e+03	-2.00000e+01	3.93175e-02	3.97395e-05	2.54340e+01	2.57070e-02	6.98325e-11	6.63744e-08	1.01073e-03	-9.89380e+02
3.77480e+03	-2.00000e+01	3.93188e-02	3.79968e-05	2.54331e+01	2.45780e-02	5.16142e-11	5.13100e-08	9.66378e-04	-1.03479e+03
2.91820e+03	-2.00000e+01	3.93085e-02	3.68902e-05	2.54398e+01	2.38747e-02	3.87598e-11	3.96772e-08	9.38479e-04	-1.06555e+03
2.25600e+03	-2.00000e+01	3.93029e-02	3.57603e-05	2.54434e+01	2.31500e-02	2.90549e-11	3.06782e-08	9.09864e-04	-1.09907e+03
1.74410e+03	-2.00000e+01	3.92967e-02	3.48156e-05	2.54474e+01	2.25456e-02	2.18757e-11	2.37210e-08	8.85967e-04	-1.12871e+03
1.34830e+03	-2.00000e+01	3.92913e-02	3.43422e-05	2.54509e+01	2.22451e-02	1.66859e-11	1.83405e-08	8.74039e-04	-1.14411e+03
1.04230e+03	-2.00000e+01	3.92833e-02	3.32065e-05	2.54561e+01	2.15182e-02	1.24775e-11	1.41811e-08	8.45308e-04	-1.18300e+03
8.05800e+02	-2.00000e+01	3.92785e-02	3.37366e-05	2.54592e+01	2.18672e-02	9.80277e-12	1.09648e-08	8.58909e-04	-1.16427e+03
6.22940e+02	-2.00000e+01	3.92727e-02	3.34885e-05	2.54630e+01	2.17127e-02	7.52471e-12	8.47783e-09	8.52717e-04	-1.17272e+03
4.81580e+02	-2.00000e+01	3.92712e-02	3.29159e-05	2.54639e+01	2.13431e-02	5.71814e-12	6.55426e-09	8.38168e-04	-1.19308e+03
3.72300e+02	-2.00000e+01	3.92701e-02	3.25510e-05	2.54646e+01	2.11076e-02	4.37182e-12	5.06712e-09	8.28900e-04	-1.20642e+03
2.87820e+02	-2.00000e+01	3.92656e-02	3.27608e-05	2.54676e+01	2.12486e-02	3.40236e-12	3.91779e-09	8.34338e-04	-1.19856e+03
2.22500e+02	-2.00000e+01	3.92563e-02	3.25888e-05	2.54736e+01	2.11471e-02	2.61764e-12	3.02941e-09	8.30155e-04	-1.20459e+03
1.72010e+02	-2.00000e+01	3.92509e-02	3.33799e-05	2.54771e+01	2.16664e-02	2.07333e-12	2.34230e-09	8.50424e-04	-1.17588e+03
1.32980e+02	-2.00000e+01	3.92457e-02	3.45269e-05	2.54805e+01	2.24167e-02	1.65840e-12	1.81107e-09	8.79762e-04	-1.13667e+03
1.02800e+02	-2.00000e+01	3.92384e-02	3.56152e-05	2.54852e+01	2.31319e-02	1.32292e-12	1.40032e-09	9.07662e-04	-1.10173e+03
7.94740e+01	-2.00000e+01	3.92316e-02	3.63232e-05	2.54897e+01	2.36000e-02	1.04344e-12	1.08277e-09	9.25867e-04	-1.08007e+03
6.14400e+01	-2.00000e+01	3.92273e-02	3.76642e-05	2.54924e+01	2.44766e-02	8.36626e-13	8.37167e-10	9.60152e-04	-1.04150e+03
4.74970e+01	-2.00000e+01	3.92283e-02	3.65403e-05	2.54918e+01	2.37451e-02	6.27435e-13	6.47167e-10	9.31478e-04	-1.07356e+03
