[Header]
; ACMS II Data File (default extension .dat)
; Copyright (c) 2014, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3909685167.027,11/20/2023,10:38 pm
BYAPP,ACMS II,1.0,1.2
INFO,DYNACOOL ACMS II Option Release 1.0.8 Build 47,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1404,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,ACMS,ACMS_MODULE_NAME
INFO,3101-430 D2,ACMS_HW_VERSION
INFO,ACMSII272,ACMS_SERIAL_NUMBER
INFO,00.14.14,ACMS_SOFTWARE_VERSION
INFO,WF261,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
STARTUPGROUP, AC
FIELDGROUP, AC, 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25,35,43,44,45,46,47,48,49
FIELDGROUP, DC, 2,3,4,17,18,19,20,21,23,24,25,35,36,37,43,44,45,46,47,48,49,50,51
FIELDGROUP, Diagnostic, 26,27,28,29,30,31,32,33,34,38,39,40,41,42,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),AC Moment (emu),AC Std. Dev. (emu),AC Phase (deg),AC Phase Std. Dev. (deg),AC Suscept. (emu/Oe),AC Suscept. Std. Dev. (emu/Oe),AC X'  (emu/Oe),AC X" (emu/Oe),AC X' Std. Dev. (emu/Oe),AC X" Std. Dev. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),DC Moment (emu),DC Std. Err. (emu),DC Quad. Moment (emu),Range (mV),"AC=1 DC=2 Locate=3",Measure Type,Measure Count,Measure Time (sec),Measure Number,AC X' Raw (emu/Oe),AC X" Raw (emu/Oe),DC M. Raw' (emu),DC M. Raw" (emu),Coil InPhase (V),Coil Quadrature (V),Null Status,Trim Ratio,Trim Phase (deg.),Max. Signal (mV),Motor Frequency (Hz),Motor Ampl. (mm),System Temp. (K),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Pressure (Torr),Temp. Status (code),Field Status (code),Chamber Status (code),Measure Status (code),Center Position (mm),Transport Action,Motor Lag (deg),Motor Current (amps),Motor Heatsink Temp. (C),Motor Board Temp. (C),QMap 01,QMap 02,QMap 03,QMap 04,QMap 05,QMap 06,QMap 07,QMap 08,QMap 09,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
,3909685362.31192,1.89645504951477,-0.295025646686554,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0.0812407359480858,5,4,3,,37.6930004202127,2,,,30.3030319213867,35.190616607666,,,,,,,,,,,,,,,,
sample offset = 18.63 mm touchdown = 16.2000004202127 mm,3909685419.04316,1.90349437009649,-0.267366997897625,4.40270391034948E-5,2.57355522269241E-5,-2.15063255394914,25.6642103494048,8.81025500021635E-6,5.14994381424548E-6,8.80404924476107E-6,-3.30620726300135E-7,7.74587705454626E-9,7.09597799986054E-9,4.99724912643433,10,,,,100,1,3,180,18,1,8.84339812085068E-6,-1.88778698427223E-7,,,-3.93970367440488E-9,8.97197054428034E-8,5,0.180179938673973,230.638763427734,0.137864353231969,,,1.88961291313171,1.89599204063416,1.95129954814911,-0.295025646686554,-0.239708349108696,0.0807527452707291,5,4,3,0,37.6930004202127,1,,,30.3030319213867,35.190616607666,,,,,,,,,,,,,,,,
,3909685592.26983,1.8998919487754,-0.295025631785393,4.20716737723914E-5,1.96182752443075E-6,2.90005607613112,2.01902216908818,8.41896746038098E-6,3.92581530756708E-7,8.40818535330887E-6,4.25948545432378E-7,7.4444800371195E-10,7.01678649516269E-10,4.99724864959717,12.9210376739502,,,,10,1,3,232,18,2,8.4181279317841E-6,5.37595956839545E-7,,,4.57610127568842E-9,1.09537407588789E-7,5,0.2501340508461,231.675506591797,0.122605573246608,,,1.88688707351685,1.88778376579285,1.94603085517883,-0.331903845071793,-0.258147418498993,0.0799943283200264,5,4,3,0,37.6930004202127,1,,,29.8142719268799,35.190616607666,,,,,,,,,,,,,,,,
,3909685765.30207,1.90003226522415,-0.285806074738502,4.18447174882715E-5,1.25825173151266E-6,1.96945192709287,1.29041312131114,8.37355281036234E-6,2.51788946251202E-7,8.36860648693196E-6,2.87770976311666E-7,6.15614390931971E-10,5.77427173108758E-10,4.99724769592285,16.6785469055176,,,,1,1,3,300,18,3,8.37048491726995E-6,3.763126080035E-7,,,4.08821065889242E-9,1.40211096066878E-7,5,0.30970224738121,234.912933349609,0.0990080204800617,,,1.88682615756989,1.88881742954254,1.94492435455322,-0.313464730978012,-0.258147418498993,0.0801286548376083,5,4,3,0,37.6930004202127,1,,,29.8142719268799,34.7018585205078,,,,,,,,,,,,,,,,
,3909685937.97195,1.90023671977128,-0.331903845071793,4.08351629457984E-5,9.61281033170235E-7,2.07148880458516,1.00779332241104,8.17153459524762E-6,1.92362186205362E-7,8.16619453401544E-6,2.9537175549644E-7,6.01733714747041E-10,5.72697524763926E-10,4.99724531173706,21.5469608306885,,,,1,1,3,387,18,4,8.16223438159446E-6,3.6393029544476E-7,,,5.94370419548795E-9,1.76243475813465E-7,5,0.392471700906754,235.356979370117,0.100507128179556,,,1.8875333070755,1.88728141784668,1.94846498966217,-0.350342959165573,-0.313464730978012,0.0801012143492699,5,4,3,0,37.6930004202127,1,,,29.3255138397217,34.2131004333496,,,,,,,,,,,,,,,,
,3909686073.37935,1.88622856140137,-0.331903845071793,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0.080372229218483,6,4,3,,37.6630006574392,2,,,29.8142719268799,34.2131004333496,,,,,,,,,,,,,,,,
touchdown = 16.1700006574392 mm,3909686129.71812,1.90083168277258,-0.322684302926064,4.10578238468667E-5,8.43287522280783E-7,1.51292530184487,0.916697744783311,8.21609602731992E-6,1.68750572060052E-7,8.21323184945892E-6,2.16925141871192E-7,7.14579606964789E-10,6.07649131706546E-10,4.99724245071411,27.8240184783936,,,,1,1,3,500,18,5,8.20662570229236E-6,2.71745884553987E-7,,,6.14672757137669E-9,2.28139377611569E-7,5,0.498750299215317,232.318939208984,0.101524383567379,,,1.8870974779129,1.88882648944855,1.94507956504822,-0.350342959165573,-0.295025646686554,0.0804226100444794,5,4,3,0,37.6630006574392,1,,,29.3255138397217,34.7018585205078,,,,,,,,,,,,,,,,
,3909686301.49159,1.90026669502258,-0.295025646686554,4.11035872727476E-5,6.06046838655719E-7,0.878423118386565,0.60710090594129,8.2252631813386E-6,1.21276391646396E-7,8.22429652178019E-6,1.26099659470841E-7,6.13787106593062E-10,6.14930433098902E-10,4.99723672866821,35.9447021484375,,,,1,1,3,647,18,6,8.21643249447798E-6,1.70103722801429E-7,,,5.11699838057211E-9,2.94425300917389E-7,5,0.610765099525452,226.086166381836,0.102742399132993,,,1.88545179367065,1.88818287849426,1.94672036170959,-0.295025646686554,-0.295025646686554,0.0802059844136238,5,4,3,0,37.6630006574392,1,,,29.3255138397217,34.7018585205078,,,,,,,,,,,,,,,,
,3909686473.92743,1.90000661239503,-0.350342944264412,4.09328766808491E-5,5.10511411633911E-7,0.986713994105996,0.541747984965199,8.19111703409503E-6,1.02158926003138E-7,8.18990241609616E-6,1.41055595649609E-7,7.01994342466784E-10,6.28558755474613E-10,4.99722766876221,46.4285697937012,,,,1,1,3,835,18,7,8.18111898289712E-6,1.76637082934217E-7,,,7.51303197432662E-9,3.7747449255221E-7,5,0.70848286151886,218.146942138672,0.106610637269016,,,1.88639390468597,1.88840389251709,1.94462740421295,-0.387221157550812,-0.313464730978012,0.0798189416527748,5,4,3,0,37.6630006574392,1,,,29.8142719268799,34.2131004333496,,,,,,,,,,,,,,,,
,3909686646.91509,1.90019874438223,-0.359562501311302,4.08178785377658E-5,4.06854096497498E-7,0.860490840272713,0.402996074607985,8.16813036627619E-6,8.14162180714594E-8,8.16720921334041E-6,1.22667624134309E-7,6.71168238210549E-10,6.98371403842968E-10,4.99721193313599,60,,,,1,1,3,1080,18,8,8.15820466307487E-6,1.52168905294368E-7,,,8.64510241171956E-9,4.85529852767286E-7,5,0.775295078754425,210.430740356445,0.111937828745227,,,1.88441705703735,1.88725900650024,1.94437253475189,-0.405660271644592,-0.313464730978012,0.079921081662178,5,4,3,0,37.6630006574392,1,,,29.8142719268799,35.190616607666,,,,,,,,,,,,,,,,
