[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3590176614.1354,10/11/2023,1:51 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,MRo54,SAMPLE_MATERIAL
INFO,MRo54 crystals under Et2O, glass,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,61.3,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3590177834.36249,1.79989981651306,-0.277311772108078,,,5,,,,34.2499986290932,,,,,1.38317291271627E-6,6.21032824001702E-7,-0.070649227136333,0.303278488824782,4.6105596630856E-7,2.0701019095085E-7,4.61055615804412E-7,1.52647069059315E-7,-5.68510276129059E-10,1.39828793405035E-7,3.00001087458131,1.00057637691498,33.9804144735361,34,1,3,0.00458724116667735,5.90156359536221E-5,0.0273731667548418,178.082916259766,1.79854214191437,1.8019688129425,-0.277311772108078,-0.277311772108078,,,2.4034538269043,0,1,,,,,,1,1,1,1.79948723316193,0,0,1.80000614714115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590178023.68309,1.80010449886322,-0.277311772108078,,,5,,,,34.2499986290932,,,,,3.78182696066693E-5,6.24053930417398E-8,-0.0364151839388307,0.00119778786943665,1.26061010253223E-5,2.08018160902419E-8,1.26060984792513E-5,1.43081514704373E-8,-8.01199426178614E-9,1.50994156890679E-8,2.99999734499211,1.33032166957855,25.5577284633507,33,1,3,0.12541459708944,0.00212935496921394,0.0273567289113998,177.553619384766,1.79892301559448,1.8010276556015,-0.277311772108078,-0.277311772108078,,,2.391681432724,0,1,,,,,,1,1,1,1.80020141601562,0,0,1.80000330300271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590178171.67074,1.80017393827438,-0.277311772108078,,,5,,,,34.2499986290932,,,,,3.66771545100123E-5,6.65024974997102E-8,-0.0282686695045762,0.0011773069978247,1.22257377839133E-5,2.21675347302326E-8,1.22257362958872E-5,1.68590290436229E-8,-6.03195086581615E-9,1.43934962994524E-8,2.99999518706121,1.80150997638702,18.8730567388741,34,1,3,0.121616997927343,0.00269068675865653,0.0273145344108343,176.827163696289,1.79912030696869,1.80092656612396,-0.277311772108078,-0.277311772108078,,,2.38392305374146,0,1,,,,,,1,1,1,1.80027151107788,0,0,1.7999991657227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590178300.41207,1.80007266998291,-0.277311772108078,,,5,,,,34.2499986290932,,,,,3.64770866922441E-5,1.1726286651964E-7,-0.094696365408435,0.00147990008992977,1.21590511298998E-5,3.90876936439685E-8,1.2159034522909E-5,3.46983877989121E-8,-2.00960251242705E-8,1.79963795959366E-8,2.99999451458385,2.39918065071106,14.1715047551435,33,1,3,0.12093623159111,0.00329730474895062,0.0272523891180754,175.831573486328,1.79873728752136,1.80129492282867,-0.277311772108078,-0.277311772108078,,,2.37724184989929,0,1,,,,,,1,1,1,1.80018579959869,0,0,1.79997311948656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590178406.75187,1.80013728141785,-0.277311772108078,,,5,,,,34.2499986290932,,,,,3.61459090246503E-5,8.70900612870207E-8,-0.0866253232955456,0.0018967368042201,1.20486360479174E-5,2.90300197215274E-8,1.20486222773359E-5,1.79025730480672E-8,-1.82162910455882E-8,2.28525692929895E-8,3.00000007311185,3.13966870307922,14,43,1,3,0.119805600260324,0.00420740816717239,0.0271833203732967,174.643768310547,1.79889333248138,1.80102682113647,-0.277311772108078,-0.277311772108078,,,2.372389793396,0,1,,,,,,1,1,1,1.80016314983368,0,0,1.79997814519733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590178505.0697,1.80001777410507,-0.277311772108078,,,5,,,,34.2499986290932,,,,,3.67066502437322E-5,5.20217821332433E-8,-0.0405680113977005,0.000951989631089217,1.22355525401658E-5,1.73405975292732E-8,1.22355494731519E-5,1.28459660487753E-8,-8.66332560008291E-9,1.16480676056567E-8,2.99999939710403,4.2035231590271,14,58,1,3,0.12159987553021,0.00568732461136916,0.0270925723016262,172.892913818359,1.79872763156891,1.80100452899933,-0.277311772108078,-0.277311772108078,,,2.36903166770935,0,1,,,,,,1,1,1,1.79992985725403,0,0,1.8000046821932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590178599.7115,1.79996228218079,-0.277311772108078,,,5,,,,34.2499986290932,,,,,3.69438396412861E-5,4.62402961467278E-8,0.0283739938883967,0.000765026772318461,1.23146255751803E-5,1.54134475209242E-8,1.23146240651457E-5,1.21996349873508E-8,6.09844389055521E-9,9.42036467742586E-9,2.99999698860071,5.59955549240112,14,78,1,3,0.122276222527474,0.00754173318114636,0.0268617495894432,170.58918762207,1.79899883270264,1.80150127410889,-0.277311772108078,-0.277311772108078,,,2.36614608764648,0,1,,,,,,1,1,1,1.79997611045837,0,0,1.80000213653811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590178692.55157,1.79987001419067,-0.277311772108078,,,5,,,,34.2499986290932,,,,,3.6887850156393E-5,3.24358654963994E-8,0.0458813887007112,0.00044561581344588,1.22959955322164E-5,1.08119951565726E-8,1.22959915898088E-5,9.32186429020751E-9,9.84640221279536E-9,5.47741594373696E-9,2.99998890368366,7.40717935562134,14,103,1,3,0.121929608928583,0.00958444411282994,0.0265181977301836,167.674301147461,1.79903090000153,1.80188322067261,-0.277311772108078,-0.277311772108078,,,2.36326169967651,0,1,,,,,,1,1,1,1.79966497421265,0,0,1.80000497632557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590178783.40645,1.79987013339996,-0.277311772108078,,,5,,,,34.2499986290932,,,,,3.72025208315129E-5,2.16036240741049E-8,0.0584646638940907,0.000162745624960202,1.2400861012076E-5,7.20122006552798E-9,1.2400854556077E-5,6.914607332924E-9,1.26538473062727E-8,2.01141141083481E-9,2.99999498383903,9.82852745056152,14,137,1,3,0.122725242405588,0.0121196200408223,0.0259018335491419,163.950271606445,1.79905545711517,1.80080819129944,-0.277311772108078,-0.277311772108078,,,2.36100149154663,0,1,,,,,,1,1,1,1.79977893829346,0,0,1.79999800258213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590178869.77637,1.79992252588272,-0.277311772108078,,,5,,,,34.2499986290932,,,,,3.68578831025709E-5,2.42807180686074E-8,0.0763112541001565,0.000139838548408044,1.22861009479437E-5,8.09366485995133E-9,1.22860900507183E-5,7.91394663689654E-9,1.63636397325037E-8,1.69613074188429E-9,2.99996583608892,13.0976734161377,14,183,1,3,0.121252603133911,0.0147096196922974,0.0249296091496944,159.340713500977,1.79899311065674,1.8011132478714,-0.277311772108078,-0.277311772108078,,,2.35849165916443,0,1,,,,,,1,1,1,1.79992914199829,0,0,1.79999706187806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590178942.97417,1.79980593919754,-0.277311772108078,,,5,,,,34.2499986290932,,,,,3.70270164281788E-5,1.19812577521074E-8,0.0844446057644603,0.000108660973676632,1.23427447468001E-5,3.99388393787352E-9,1.2342731341386E-5,3.76587890834504E-9,1.81911799737115E-8,1.33013719476078E-9,2.99990133375951,17.3889331817627,14,243,1,3,0.121423962177217,0.0173265451291107,0.0235286187380552,154.036972045898,1.79886698722839,1.80143666267395,-0.277311772108078,-0.277311772108078,,,2.35730957984924,0,1,,,,,,1,1,1,1.79987335205078,0,0,1.80000861651368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590179015.42344,1.80039000511169,-0.277311772108078,,,5,,,,34.2499986290932,,,,,3.71470980834683E-5,1.28923897393629E-8,0.0839855923972497,0.000141151830088378,1.23814050908262E-5,4.29712974061092E-9,1.23813917892173E-5,3.93169704840002E-9,1.81489679993748E-8,1.73409409411525E-9,3.00023283391252,23.2072830200195,14,324,1,3,0.121462752183149,0.0193630805741584,0.0215384662151337,148.080108642578,1.79923033714294,1.80106508731842,-0.277311772108078,-0.277311772108078,,,2.35567903518677,0,1,,,,,,1,1,1,1.80006527900696,0,0,1.80000161117231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590179089.10245,1.80001270771027,-0.277311772108078,,,5,,,,34.2499986290932,,,,,3.6170155113902E-5,6.7667699652127E-9,0.0765381408444856,8.95364136693694E-5,1.20560343478538E-5,2.2554620202133E-9,1.20560235910074E-5,1.98388746719844E-9,1.61049590100252E-8,1.07298622643426E-9,3.00017021105625,30.8258380889893,14,431,1,3,0.118075169999891,0.0197116365289533,0.0191665943711996,142.140228271484,1.79880034923553,1.80146884918213,-0.277311772108078,-0.277311772108078,,,2.35420370101929,0,1,,,,,,1,1,1,1.79992401599884,0,0,1.79999994900491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590179160.72592,1.800068795681,-0.277311772108078,,,5,,,,34.2499986290932,,,,,3.63025495249136E-5,9.70348289951563E-9,0.0346495283711477,0.000161020037864612,1.20997963935382E-5,3.23421271863407E-9,1.2099794180966E-5,2.58541485119304E-9,7.31733151082137E-9,1.94313199670142E-9,3.00026118987429,41.0320358276367,14,574,1,3,0.118527977616821,0.0193696744713351,0.0164685845375061,136.680435180664,1.79870903491974,1.80139076709747,-0.277311772108078,-0.277311772108078,,,2.35296320915222,0,1,,,,,,1,1,1,1.7998389005661,0,0,1.79999828168324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590179232.11121,1.80007636547089,-0.277311772108078,,,5,,,,34.2499986290932,,,,,3.62209534890594E-5,7.81554528530507E-9,-0.0160598057437653,8.36303090145485E-5,1.20735789767247E-5,2.60516618583222E-9,1.20735785024376E-5,2.40403010275994E-9,-3.38418173392594E-9,1.00375799913508E-9,3.00001793659408,54.6175918579102,14,764,1,3,0.118448729656248,0.0178924579650081,0.0138017814606428,132.369674682617,1.79903197288513,1.80151867866516,-0.277311772108078,-0.277311772108078,,,2.35181283950806,0,1,,,,,,1,1,1,1.8003021478653,0,0,1.80000225305557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590179303.19757,1.80002474784851,-0.277311772108078,,,5,,,,34.2499986290932,,,,,3.6722263202623E-5,9.03959684961581E-9,-0.0388886373937547,7.85830574026883E-5,1.22404635568255E-5,3.01312735534812E-9,1.22404607373519E-5,2.85717392046965E-9,-8.30802750725594E-9,9.56814322496913E-10,3.00007128260645,72.6609039306641,14,1017,1,3,0.120332508218485,0.0162346345101334,0.0114059140905738,129.631881713867,1.79887855052948,1.8010665178299,-0.277311772108078,-0.277311772108078,,,2.35052251815796,0,1,,,,,,1,1,1,1.80022966861725,0,0,1.80000590767179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590179374.10908,1.79985076189041,-0.277311772108078,,,5,,,,34.2499986290932,,,,,3.68122103528707E-5,5.16606485921915E-9,-0.0510618824046141,9.38958305073831E-5,1.22707130361442E-5,1.7220182870286E-9,1.22707081632369E-5,1.28028506251706E-9,-1.09356331034706E-8,1.15161501360333E-9,3.00000580605527,96.6893615722656,14,1353,1,3,0.120845124024171,0.0144225577169293,0.009429388679564,128.475067138672,1.79891657829285,1.8008576631546,-0.277311772108078,-0.277311772108078,,,2.34960842132568,0,1,,,,,,1,1,1,1.80009949207306,0,0,1.80001249143056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
